No,mnodule,class_id,attr_id,Trype,Level,Card,Oject Class term (entity),Property term (attribute),Representation term,Associated class,Referenced Class,(domain),Tag,Description,Ref. Object Class,Ref. Property
149,Base,BS10,03,BBIE,1,0..1,Accounting Period,Accounting Period Beginning Date,Date,,,DATE,AcntingPerBegDt,Calendar beginning date of the current accounting period.,,
150,Base,BS10,04,BBIE,1,0..1,Accounting Period,Accounting Period Ending Date,Date,,,DATE,AcntingPerEndDt,Calendar ending date of the current accounting period.,,
151,Base,BS11,,ABIE,0,--,Journal Entry Type,,,,,,BasJrnEntryTyp,"Contains information relevant to the GL journal entry type (e.g. cash receipts, cash disbursements).",,
152,Base,BS11,01,PKBIE,1,1..1,Journal Entry Type,Journal Entry Type Code,Identifier,,,IDENTIFIER 60,JeTypCd,"Code for the journal entry type.EXAMPLE   004 is a cash receipt entry, 005 is a cash disbursement entry, 006 is a non-cash entry.",,
153,Base,BS11,02,BBIE,1,0..1,Journal Entry Type,Journal Entry Type Name,Text,,,TEXT 60,JeTypNm,"Name of the journal entry type.This is usually categorized by business to satisfy an internal control need and/or to facilitate sorting and querying.EXAMPLE   Journal entries can be classified based on whether the transaction involves cash. In this case, there can be a cash receipt entry, cash disbursement entry and non-cash entry of adjusting that is the recording of interest revenue earned and wages payable, estimation that is the recording depreciation, and bad-debt expenses, and/or correction that makes entries to counteract the effects of errors found in the GL.",,
154,Base,BS11,03,BBIE,1,0..1,Journal Entry Type,Journal Entry Type Abbreviation,Text,,,TEXT 30,JeTypAbrv,Abbreviation of the journal entry type.,,
155,Base,BS11,04,BBIE,1,0..1,Journal Entry Type,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the JE type is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
156,Base,BS12,,ABIE,0,--,Bill Type,,,,,,BasBillTyp,"The information of the bill type (e.g. bank draft, commercial draft, promissory note, check). Bills are frequently used in the business cycle of sales and purchase, as evidence of debt, payment and/or settlement instrument.",,
157,Base,BS12,01,PKBIE,1,1..1,Bill Type,Bill Type Code,Identifier,,,IDENTIFIER 60,BillTypCd,"Code for the bill type.EXAMPLE   004 is bank draft, 005 is promissory note, 006 is check.",,
158,Base,BS12,02,BBIE,1,0..1,Bill Type,Bill Type Name,Text,,,TEXT 60,BillTypNm,"Name of the bill type.EXAMPLE   Bank draft, commercial draft, promissory note and check.",,
159,Base,BS12,03,BBIE,1,0..1,Bill Type,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the bill type is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
160,Base,BS13,,ABIE,0,--,Settlement Method,,,,,,BasSetlMthd,"Contains information on methods used to settle transactions. Businesses can adopt various methods to settle transactions and transfer money, especially in sales and purchase activities. Typical settlement methods include cash settlements, issuing bills, using credit cards, bank remittances and bank collections.",,
161,Base,BS13,01,PKBIE,1,1..1,Settlement Method,Settlement Method Code,Identifier,,,IDENTIFIER 60,SetlMthdCd,"Code for the settlement method.Various methods can be used to settle transactions and transfer money.EXAMPLE   001 for cash, 002 for bills, 003 for credit card, 004 for remittance, 005 for bank collection.",,
162,Base,BS13,02,BBIE,1,0..1,Settlement Method,Settlement Method Name,Text,,,TEXT 60,SetlMthdNm,"Name of the settlement method.EXAMPLE   Cash settlement, issuing bills, credit card, bank remittance, bank collection.",,
163,Base,BS13,03,BBIE,1,0..1,Settlement Method,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the settlement method is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
164,Base,BS14,,ABIE,0,--,Currency,,,,,,BasCur,Contains the information of the currency.,,
165,Base,BS14,01,PKBIE,1,1..1,Currency,Currency Code,Identifier,,,CURRENCY CODE,CurCd,Code for the currency (in accordance with ISO 4217).,,
166,Base,BS14,02,BBIE,1,0..1,Currency,Currency Name,Text,,,TEXT 30,CurNm,Name of the currency in the accounting and/or ERP system.,,
167,Base,BS14,03,BBIE,1,0..1,Currency,Minor Unit,Code,,,UNIT,MinorUnit,"Unit of recorded value that is a division of the respective unit of currency.Minor unit shows the decimal relationship between such a unit and the currency itself (in accordance with ISO 4217). Number 0 means that there is no minor unit for that currency. Numbers 1, 2, 3, etc. signify a ratio of 10:1, 100:1, 1 000:1, etc., respectively.EXAMPLE   The US cent is a one hundredth part of the US dollar. The GB penny is a one hundredth part of the pound sterling. The minor unit number for both is 2.",,
168,Base,BS14,04,BBIE,1,0..1,Currency,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether Currency_Code [CurCd] is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
169,Base,BS15,,ABIE,0,--,Measurement Unit,,,,,,BasMeaUnit,"Contains information of the measurement unit (UOM) used in the modules of GL, SAL, PUR, INV and PPE.",,
170,Base,BS15,01,PKBIE,1,1..1,Measurement Unit,UOM Code,Code,,,MEASUREMENT UNIT CODE,UomCd,Code of the measurement unit.,,
171,Base,BS15,02,BBIE,1,0..1,Measurement Unit,UOM Name,Text,,,TEXT 80,UomNm,"Name of the measurement unit for measuring the quantity of the material, etc.",,
172,Base,BS15,03,BBIE,1,0..1,Measurement Unit,UOM Abbreviation,Text,,,TEXT 40,UomAbrv,"Abbreviation of the measurement unit's name.EXAMPLE   Kilogram is kg, square metre is sq.m.",,
173,Base,BS15,04,BBIE,1,0..1,Measurement Unit,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the UOM_Code [UomCd] is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
174,Base,BS16,,ABIE,0,--,Payment Term,,,,,,BasPayTerm,"Contains the details of the payment term, which is applied and referenced in the PUR and SAL modules. The payment term refers to the condition of a sale/purchase agreement and is related to how the customer will pay (type of credit instrument), and especially how much time is allowed for payment (credit period) and discount (cash discount and discount period).",,
175,Base,BS16,01,PKBIE,1,1..1,Payment Term,Payment Term Code,Code,,,PAYMENT TERM CODE,PayTermCd,"Code for the payment term.EXAMPLE   Terms of 2/10, net 60 are quoted. This means that customers have 60 days from the invoice date to pay the full amount. However, if payment is made within 10 days, a 2 % cash discount can be taken.",,
176,Base,BS16,02,BBIE,1,0..1,Payment Term,Payment Term Name,Text,,,TEXT 200,PayTermNm,The full name of the payment term.,,
177,Base,BS16,03,BBIE,1,0..1,Payment Term,Payment Term Line Number,Code,,,TEXT 10,PayTermLnNr,Number of the lines according to the Payment_Term_Code [PayTermCd] value.This number is generated either by manual input or by the system.,,
178,Base,BS16,04,BBIE,1,0..1,Payment Term,Payment Term Line Description,Text,,,TEXT 1000,PayTermLnDscr,"Detailed description of the payment term's line.EXAMPLE   Payment due date, discount days, discount percentage.",,
179,Base,BS16,05,BBIE,1,0..1,Payment Term,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the payment term is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
180,Base,BS17,,ABIE,0,--,Project,,,,,,BasProj,"Contains the detailed information related to the project (e.g. construction project, government or business-funded research project). Projects are commonly administrated separately and could be subject to being audit in accordance with regulatory and/or managerial requirements. The audit of a project is a thorough examination of the management, execution, methodology, procedures, records, budgets, expenditures, and the degree of completion. It is referenced in several modules including GL, AR, AP and INV.",,
181,Base,BS17,01,PKBIE,1,1..1,Project,Project ID,Identifier,,,IDENTIFIER 60,ProjId,Unique identifier for the project.Typically auto-generated by the system.,,
182,Base,BS17,02,BBIE,1,0..1,Project,Project Code,Code,,,TEXT 80,ProjCd,Code of the project.,,
183,Base,BS17,03,BBIE,1,0..1,Project,Project Name,Text,,,TEXT 80,ProjNm,Name of the project related to operation and administration.,,
184,Base,BS17,04,BBIE,1,0..1,Project,Project Beginning Date,Date,,,DATE,ProjBegDt,Beginning date of the project.,,
185,Base,BS17,05,BBIE,1,0..1,Project,Project Ending Date,Date,,,DATE,ProjEndDt,Ending date of the project.,,
186,Base,BS17,06,BBIE,1,0..1,Project,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the project is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
187,Base,BS17,BS64,ASBIE,1,0..n,Project,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
188,Base,BS64,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
189,Base,BS64,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
190,Base,BS18,,ABIE,0,--,Bank Account,,,,,,BasBankAcnt,Contains the details of a bank account.,,
191,Base,BS18,01,PKBIE,1,1..1,Bank Account,Bank Account Number,Identifier,,,IDENTIFIER 60,BankAcntNr,"Number of the account opened in an institution (e.g. bank, financial institution, settlement centre).ISO 13616-2 is recommended if applicable.",,
192,Base,BS18,02,BBIE,1,0..1,Bank Account,Bank Account Name,Text,,,TEXT 128,BankAcntNm,"Name of the account opened in an institution (e.g. bank, financial institution, settlement centre).",,
193,Base,BS18,03,BBIE,1,0..1,Bank Account,Bank Code,Code,,,BANK CODE,BankCd,Code for the financial institution (in accordance with ISO 9362 or ISO 17442).ISO 17442 is preferred. One reason is that the bank branch identifier will not change due to location movement.,,
194,Base,BS18,04,BBIE,1,0..1,Bank Account,Bank Name,Text,,,TEXT 200,BankNm,"Full name of the institution (e.g. bank, financial institution, settlement centre).",,
195,Base,BS18,05,BBIE,1,0..1,Bank Account,Branch Code,Code,,,BRANCH CODE,BraCd,Code for the institution's branch.,,
196,Base,BS18,06,BBIE,1,0..1,Bank Account,Branch Name,Text,,,TEXT 200,BraNm,Full name of the institution's branch.,,
197,Base,BS18,07,BBIE,1,0..1,Bank Account,Branch Country Code,Code,,,COUNTRY CODE,BraCntryCd,Country code where the branch is physically located (in accordance with ISO 3166-1).,,
198,Base,BS18,08,BBIE,1,0..1,Bank Account,Branch Region,Text,,,TEXT 25,BraRegion,"Sub-region within a country.EXAMPLE   A state in the US, a province in Canada.",,
199,Base,BS18,09,BBIE,1,0..1,Bank Account,Active Flag,Indicator,,,BOOLEAN,ActiveFlag,"Indicates whether the bank account is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
200,Base,BS18,BS65,ASBIE,1,0..n,Bank Account,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
201,Base,BS65,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
202,Base,BS65,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
203,Base,BS19,,ABIE,0,--,Tax Regulatory,,,,,,BasTaxRgltry,"Contains regulatory information related to taxes, including regulator country, region, name and role.",,
204,Base,BS19,01,PKBIE,1,1..1,Tax Regulatory,Regulator Code,Code,,,REGULATOR CODE,RgltrCd,Code of the regulator or jurisdiction.,,
205,Base,BS19,02,BBIE,1,0..1,Tax Regulatory,Regulator Country Code,Code,,,COUNTRY CODE,RgltrCntryCd,Country code where the regulator is located (in accordance with ISO 3166-1).,,
206,Base,BS19,03,BBIE,1,0..1,Tax Regulatory,Regulator Region,Code,,,REGION,RgltrRegion,"Sub-region within a country.EXAMPLE   A state in the US, a province in Canada.",,
207,Base,BS19,04,BBIE,1,0..1,Tax Regulatory,Regulator Name,Text,,,TEXT 100,RgltrNm,Name of the regulator for which tax is withheld or accrued.,,
208,Base,BS19,05,BBIE,1,0..1,Tax Regulatory,Regulator Role,Text,,,TEXT 20,RgltrRole,"Role of the regulator, whether federal, regional or local.",,
209,Base,BS19,06,RFBIE,1,0..1,Tax Regulatory,Regulator Payable Account Number,,,Chart Of Accounts,IDENTIFIER 100,RgltrPblAcntNum,GL account used to reflect the amounts payable to the regulator.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
210,Base,BS19,07,RFBIE,1,0..1,Tax Regulatory,Regulator Accrual Account Number,,,Chart Of Accounts,IDENTIFIER 100,RgltrAccrlAcntNum,GL account used to reflect the accruals due to the regulator.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
211,Base,BS19,08,RFBIE,1,0..1,Tax Regulatory,Regulator Expense Account Number,,,Chart Of Accounts,IDENTIFIER 100,RgltrExpnsAcntNum,GL account used to reflect the expenses related to the regulator.Shall match the GL_Account_Number [GlAcntNr] in the BAS_Chart_Of_Accounts [BasChartOfAcnts] table.,BAS CHART OF ACCOUNTS,GL Account Number
212,Base,BS19,09,BBIE,1,0..1,Tax Regulatory,Regulator ID,Identifier,,,IDENTIFIER 25,RgltrId,ID assigned/generated by the regulator for the reporting organization to the regulator.,,
213,Base,BS19,10,RFBIE,1,0..1,Tax Regulatory,Regulator Reporting ORG,,,Business Segment,IDENTIFIER 80,RgltrRprtOrg,Code for the reporting organization.Shall match the Business_Segment_Code [BusSgCd] in the BAS_Business_Segment [BasBusSg] table.,BAS BUSINESS SEGMENT,Business Segment Code
214,Base,BS19,11,BBIE,1,0..1,Tax Regulatory,Regulator Active Flag,Indicator,,,BOOLEAN,RgltrActiveFlag,"Indicates whether the Regulator_Code [RgltrCd] is active or inactive.EXAMPLE   1 is active, 0 is inactive.",,
215,Base,BS19,BS66,ASBIE,1,0..n,Tax Regulatory,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
216,Base,BS66,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
217,Base,BS66,02,RFBIE,2,0..1,Business Segment,Business Segment Code,,,Business Segment,IDENTIFIER 25,BusSgCd,Contains a code to identify the associated business segment. Must match the Business_Segment_Code [BusSgCd] in BAS_Business_Segment [BasBusSg].,BAS BUSINESS SEGMENT,Business Segment Code
218,Base,BS20,,ABIE,0,--,Tax Type,,,,,,BasTaxTyp,"Contains detailed information on tax types used by the business. The tables in AR, SAL, AP and PUR modules contain 4 tax types, which can meet the requirements in most cases of the business. Tax types could be tax in country level, state level, county level or in local level, or could be tax related to a transaction (e.g. sales tax, value added tax, tariff).",,
219,Base,BS20,01,PKBIE,1,1..1,Tax Type,Tax Type Code,Code,,,TAX TYPE CODE,TaxTypCd,"Code used to refer to this tax type, used as a key or cross-reference in files.EXAMPLE   004 is the income tax, 005 is the tariff, 006 is the value added tax.",,
220,Base,BS20,02,BBIE,1,0..1,Tax Type,Tax Name,Text,,,TEXT 100,TaxNm,"Name of the tax type.EXAMPLE   Income tax, tariff, value added tax.",,
221,Base,BS20,03,RFBIE,1,0..1,Tax Type,Regulator Code,,,Tax Regulatory,REGULATOR CODE,RgltrCd,Code for the regulator for this tax.Shall match the Regulator_Code [RgltrCd] in the BAS_Tax_Regulatory [BasTaxRgltry] table.,BAS TAX REGULATORY,Regulator Code
222,Base,BS20,04,BBIE,1,0..1,Tax Type,Tax Type Description,Text,,,TEXT 100,TaxTypDscr,Description of the tax type.,,
223,Base,BS20,05,BBIE,1,0..1,Tax Type,Tax Code Description,Text,,,TEXT 1000,TaxCdDscr,"Description of the tax code, which is a sub-division of the tax type.EXAMPLE   Lower percentage applicable for common goods.",,
224,Base,BS20,06,BBIE,1,0..1,Tax Type,Tax Percentage,Percentage,,,PERCENTAGE11,TaxPerc,Default percentage for this combination of tax type and tax code.Can use the Extracted_Date [ExtractedDt] from the BAS_Profile [BasProfile] table.,,
225,Base,BS20,BS67,ASBIE,1,0..n,Tax Type,Specified,,Business Segment,,,BusSg,Contains associated Business Segment information.,,
226,Base,BS67,01,BBIE,2,0..1,Business Segment,Sequence Number,Code,,,TEXT 60,SqNr,Number or text to keep the Business Segments in a predefined order.,,
